customerid,recency,frequency,monetary_value,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score,Persona
12346,326.0,1,77183.6,1,1,4,114,6,Big Spenders
12347,2.0,7,4310.0,4,4,4,444,12,Champions
12348,75.0,4,1797.24,2,3,4,234,9,At Risk
12349,19.0,1,1757.55,3,1,4,314,8,Big Spenders
12350,310.0,1,334.4,1,1,2,112,4,Lost Customers
12352,36.0,8,2506.04,3,4,4,344,11,Champions
12353,204.0,1,89.0,1,1,1,111,3,Lost Customers
12354,232.0,1,1079.4,1,1,3,113,5,Big Spenders
12355,214.0,1,459.4,1,1,2,112,4,Lost Customers
12356,23.0,3,2811.43,3,3,4,334,10,Champions
12357,33.0,1,6207.67,3,1,4,314,8,Big Spenders
12358,2.0,2,1168.06,4,2,3,423,9,Big Spenders
12359,58.0,4,6372.58,2,3,4,234,9,At Risk
12360,52.0,3,2662.06,2,3,4,234,9,At Risk
12361,287.0,1,189.9,1,1,1,111,3,Lost Customers
12362,3.0,10,5226.23,4,4,4,444,12,Champions
12363,110.0,2,552.0,2,2,2,222,6,Typical Customers
12364,8.0,4,1313.1,4,3,3,433,10,Champions
12365,291.0,2,641.38,1,2,2,122,5,Typical Customers
12367,4.0,1,168.9,4,1,1,411,6,New Customers
12370,51.0,4,3545.69,3,3,4,334,10,Champions
12371,45.0,2,1887.96,3,2,4,324,9,Big Spenders
12372,72.0,3,1298.04,2,3,3,233,8,At Risk
12373,311.0,1,364.6,1,1,2,112,4,Lost Customers
12374,25.0,1,742.93,3,1,3,313,7,Big Spenders
12375,11.0,2,457.5,4,2,2,422,8,New Customers
12377,315.0,2,1628.12,1,2,3,123,6,Big Spenders
12378,130.0,1,4008.62,2,1,4,214,7,Big Spenders
12379,82.0,2,852.24,2,2,3,223,7,Big Spenders
12380,22.0,4,2724.81,3,3,4,334,10,Champions
12381,5.0,5,1845.31,4,3,4,434,11,Champions
12383,185.0,5,1850.56,1,3,4,134,8,At Risk
12384,29.0,2,585.27,3,2,2,322,7,New Customers
12386,338.0,2,401.9,1,2,2,122,5,Typical Customers
